"cID","bitterResource","description","molIDinResource","type","bitterClassification","SensoryTestConcentration_mM","EC50_mM","thrPerKg_mM","citation","organism"
"2354","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2355","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2356","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2357","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2358","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2359","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2360","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2361","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2362","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2363","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2364","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2365","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2366","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2367","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2368","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2369","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2370","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2371","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2372","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2373","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2374","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2375","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2376","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2377","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2378","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2379","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2380","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2381","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2382","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2383","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2384","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2385","https://pubmed.ncbi.nlm.nih.gov/36847646/",,,"pubMed",,,,,"Waterloo L. et al. Discovery of 2-Aminopyrimidines as Potent Agonists for the Bitter Taste Receptor TAS2R14, Journal of Medicinal Chemistry, 2023, 66, 5, 3499â€“3521",NULL
"2387","https://pubmed.ncbi.nlm.nih.gov/37263600/",,,"pubMed",,,,,"Margulis E. et al. Bitter Odorants and Odorous Bitters: Toxicity and Human TAS2R Targets, Journal of Agricultural and Food Chemistry, 2023, 71(23), 9051â€“9061",NULL
"2388","https://pubmed.ncbi.nlm.nih.gov/37263600/",,,"pubMed",,,,,"Margulis E. et al. Bitter Odorants and Odorous Bitters: Toxicity and Human TAS2R Targets, Journal of Agricultural and Food Chemistry, 2023, 71(23), 9051â€“9061",NULL
"2389","https://pubmed.ncbi.nlm.nih.gov/37263600/",,,"pubMed",,,,,"Margulis E. et al. Bitter Odorants and Odorous Bitters: Toxicity and Human TAS2R Targets, Journal of Agricultural and Food Chemistry, 2023, 71(23), 9051â€“9061",NULL
"2390","https://pubmed.ncbi.nlm.nih.gov/37263600/",,,"pubMed",,,,,"Margulis E. et al. Bitter Odorants and Odorous Bitters: Toxicity and Human TAS2R Targets, Journal of Agricultural and Food Chemistry, 2023, 71(23), 9051â€“9061",NULL
"2391","https://pubmed.ncbi.nlm.nih.gov/37263600/",,,"pubMed",,,,,"Margulis E. et al. Bitter Odorants and Odorous Bitters: Toxicity and Human TAS2R Targets, Journal of Agricultural and Food Chemistry, 2023, 71(23), 9051â€“9061",NULL
"2392","https://pubmed.ncbi.nlm.nih.gov/37263600/",,,"pubMed",,,,,"Margulis E. et al. Bitter Odorants and Odorous Bitters: Toxicity and Human TAS2R Targets, Journal of Agricultural and Food Chemistry, 2023, 71(23), 9051â€“9061",NULL
"2393","https://pubmed.ncbi.nlm.nih.gov/29799189/",,,"pubMed",,,,,"Jaggupilli A. et al. Characterization of the Binding Sites for Bacterial Acyl Homoserine Lactones (AHLs) on Human Bitter Taste Receptors (T2Rs), ACS Infectious Diseases, 2018, 4(7), 1146â€“1156",NULL
"2394","https://pubmed.ncbi.nlm.nih.gov/29799189/",,,"pubMed",,,,,"Jaggupilli A. et al. Characterization of the Binding Sites for Bacterial Acyl Homoserine Lactones (AHLs) on Human Bitter Taste Receptors (T2Rs), ACS Infectious Diseases, 2018, 4(7), 1146â€“1156",NULL
"2396","https://pubmed.ncbi.nlm.nih.gov/36449493/",,,"pubMed",,,,,"Gibbs M. et al. Bitter taste sensitivity in domestic dogs (Canis familiaris) and its relevance to bitter deterrents of ingestion, PLOS ONE, 2022, 17(11)",NULL
"2397","https://pubmed.ncbi.nlm.nih.gov/36449493/",,,"pubMed",,,,,"Gibbs M. et al. Bitter taste sensitivity in domestic dogs (Canis familiaris) and its relevance to bitter deterrents of ingestion, PLOS ONE, 2022, 17(11)",NULL
"2398","https://pubmed.ncbi.nlm.nih.gov/36449493/",,,"pubMed",,,,,"Gibbs M. et al. Bitter taste sensitivity in domestic dogs (Canis familiaris) and its relevance to bitter deterrents of ingestion, PLOS ONE, 2022, 17(11)",NULL
"2401","https://pubmed.ncbi.nlm.nih.gov/36449493/",,,"pubMed",,,,,"Gibbs M. et al. Bitter taste sensitivity in domestic dogs (Canis familiaris) and its relevance to bitter deterrents of ingestion, PLOS ONE, 2022, 17(11)",NULL
"2402","https://pubmed.ncbi.nlm.nih.gov/36449493/",,,"pubMed",,,,,"Gibbs M. et al. Bitter taste sensitivity in domestic dogs (Canis familiaris) and its relevance to bitter deterrents of ingestion, PLOS ONE, 2022, 17(11)",NULL
"2403","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2404","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2405","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2406","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2407","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2408","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2409","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2410","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2411","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2412","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2413","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2414","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2415","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2416","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2417","https://pubmed.ncbi.nlm.nih.gov/31236627/",,,"pubMed",,,,,"Di Pizio A. et al. Rational design of agonists for bitter taste receptor TAS2R14: from modeling to bench and back,Â Cell. Mol. Life Sci., 2020, 77, 531â€“542",NULL
"2418","https://pubmed.ncbi.nlm.nih.gov/27866985/",,,"pubMed",,,,,"Dey B. et al. Identification of functional bitter taste receptors and their antagonist in chickens, Biochemical and Biophysical Research Communications, 2017, 482(4), 693-699",NULL
"2419","https://pubmed.ncbi.nlm.nih.gov/31161904/",,,"pubMed",,,,,"Itoigawa A. et al. A natural point mutation in the bitter taste receptor TAS2R16 causes inverse agonism of arbutin in lemur gustation, 2019, 286, 1904",NULL
"2420","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2421","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2422","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2423","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2426","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2428","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2429","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2430","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2431","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2432","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2433","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2434","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2435","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2436","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2437","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2438","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2439","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2440","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2441","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2442","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2443","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2444","https://doi.org/10.1016/j.bbrc.2010.06.097",,,"URL",,,,,,NULL
"2444","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2445","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2446","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2447","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2448","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2449","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2450","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2451","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2452","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2453","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2454","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2455","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2456","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2457","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2458","https://pubmed.ncbi.nlm.nih.gov/21942422/",,,"pubMed",,,,,"Roland W. S. U. et al. Soy Isoflavones and Other Isoflavonoids Activate the Human Bitter Taste Receptors hTAS2R14 and hTAS2R39, Journal of Agricultural and Food Chemistry, 2011, 59 (21), 11764-11771",NULL
"2458","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2459","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2460","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2461","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2462","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2463","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2464","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2465","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2466","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2467","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2468","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2469","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2470","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
"2471","https://pubmed.ncbi.nlm.nih.gov/37683467/",,,"pubMed",,,,,"Yu Y. et al. Identification and prediction of milk-derived bitter taste peptides based on peptidomics technology and machine learning method, Food Chemistry, 2024, 433, 137288",NULL
